,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
spell_apotheosis_star_shot_name,Star Shot,Звёздный выстрел,,,,,,,星弹,シューティングスター,,,,
spell_apotheosis_star_shot_desc,Fire two starry projectiles with a bright light,Выпускает два звёздных снаряда с ярким светом,,,,,,,发射两颗明亮的投射物。它们闪烁着星星的光芒,輝く2発の星を撃ち出す。,,,,
spell_apotheosis_hex_water_name,Vulnerability Hex - Water,Проклятие уязвимости: вода,,,,,,,弱点诅咒 - 水,弱る呪い - 水,,,,
spell_apotheosis_hex_water_desc,Creatures hit by your projectiles take damage from water and other wet substances,"Существа, поражённые вашими снарядами, получают урон от воды и других влажных веществ",,,,,,,令投射物击中的生物受到来自水和其它潮湿物质的伤害,放射物に当たった敵が水でダメージを受けるようになる。,,,,
spell_apotheosis_hex_oil_name,Vulnerability Hex - Oil,Проклятие уязвимости: нефть,,,,,,,弱点诅咒 - 油,弱る呪い - オイル,,,,
spell_apotheosis_hex_oil_desc,Creatures hit by your projectiles take damage from oil and other oily substances,"Существа, поражённые вашими снарядами, получают урон от нефти и других маслянистых веществ",,,,,,,令投射物击中的生物受到来自油和其它油性物质的伤害,放射物に当たった敵がオイルでダメージを受けるようになる。,,,,
spell_apotheosis_hex_blood_name,Vulnerability Hex - Blood,Проклятие уязвимости: кровь,,,,,,,弱点诅咒 - 血,弱る呪い - 血,,,,
spell_apotheosis_hex_blood_desc,Creatures hit by your projectiles take damage from blood and other bloody substances,"Существа, поражённые вашими снарядами, получают урон от крови и других кровавых веществ",,,,,,,令投射物击中的生物受到来自血和其它血腥物质的伤害,放射物に当たった敵が血でダメージを受けるようになる。,,,,
spell_apotheosis_mist_attunium_name,Attunium Mist,Туман аттуниума,,,,,,,校准云雾,調律の霊薬のミスト,,,,
spell_apotheosis_mist_attunium_desc,A cloud of attunium mist,Облако тумана аттуниума,,,,,,,校准魔药雾构成的云,霧状になった調律の霊薬。,,,,
spell_apotheosis_homing_delayed_name,Delayed Homing,Замедленное наведение,,,,,,,延迟追踪,遅延ホーミング,,,,
spell_apotheosis_homing_delayed_desc,Makes a projectile accelerate towards your foes after a short delay,Заставляет снаряд ускоряться по направлению к вашим врагам после небольшой задержки,,,,,,,令投射物在短暂延迟后加速向你的敌人飞去,放射物が少し時間を置いてから敵にホーミングする。,,,,
spell_apotheosis_material_slime_name,Slime,Слизь,,,,,,,粘液,スライム,,,,
spell_apotheosis_material_slime_desc,Transmute globs of slime out of nothing!,Создаёт комки слизи из ничего!,,,,,,,凭空产生的粘液！,スライムの液体を召喚する！,,,,
spell_apotheosis_material_alcohol_name,Whiskey,Виски,,,,,,,威士忌,ウィスキー,,,,
spell_apotheosis_material_alcohol_desc,Transmute drops of whiskey out of nothing!,Создаёт капли виски из ничего!,,,,,,,凭空产生的威士忌！,ウィスキーを召喚する！,,,,
spell_apotheosis_material_confuse_name,Flummoxium,Смятениум,,,,,,,混乱魔药,フルモキシウム,,,,
spell_apotheosis_material_confuse_desc,Transmute drops of flummoxium out of nothing!,Создаёт капли смятениума из ничего!,,,,,,,凭空产生的混乱魔药！,フルモキシウムを召喚する！,,,,
spell_apotheosis_material_copper_name,Copper,Медь,,,,,,,铜,銅,,,,
spell_apotheosis_material_copper_desc,Transmute grains of copper out of nothing!,Создаёт крупицы меди из ничего!,,,,,,,凭空产生的铜！,銅の粉末を召喚する！,,,,
spell_apotheosis_material_fungi_name,Fungus,Грибок,,,,,,,真菌,きのこ,,,,
spell_apotheosis_material_fungi_desc,Transmute fungal sprouts out of nothing!,Создаёт грибковые ростки из ничего!,,,,,,,凭空产生的真菌！,きのこの胞子を召喚する！,,,,
spell_apotheosis_death_cross_omega_name,Omega Death Cross,Крест смерти «Омега»,,,,,,,终结死亡十字,オメガ死の十字架,,,,
spell_apotheosis_death_cross_omega_desc,"A violent, giant, deadly energy cross that explodes after a short time","Сильный, гигантский, смертоносный энергетический крест, который взрывается через короткое время",,,,,,,短暂时间后爆炸的暴力巨大致命能量十字,一定時間後に爆発する、十字架状の巨大な高エネルギー体。,,,,
spell_apotheosis_mudman_slimy_name,Transmute into Mutamies on Slimy Enemies,Превращение в мутамиес слизистых врагов,,,,,,,粘液敌人突变,スライミー変身,,,,
spell_apotheosis_mudman_slimy_desc,Make a projectile transmute a creature into Mutamies upon collision if it's covered in slime,"Снаряд превращает существо в мутамиес при столкновении, если оно покрыто слизью",,,,,,,令投射物在碰撞覆盖有粘液的生物时将其转化为突变体,放射物に当たった敵がスライム濡れ状態の時、その生物を変身させる。,,,,
spell_apotheosis_cloud_gunpowder_name,Gunpowder Cloud,Gunpowder Cloud,,,,,,,火药云,,,,DOESN'T NEED TO BE TRANSLATED,
spell_apotheosis_cloud_gunpowder_desc,Creates a rain of gunpowder,Creates a rain of gunpowder,,,,,,,产生一阵火药之雨,,,,DOESN'T NEED TO BE TRANSLATED,
spell_apotheosis_cloud_volcanic_name,Volcanic Cloud,Вулканическое облако,,,,,,,火山云,火山の雲,,,,
spell_apotheosis_cloud_volcanic_desc,Creates a volcanic rain of lava and ash,Создаёт вулканический дождь из лавы и пепла,,,,,,,产生一阵熔岩之雨,溶岩や灰を降らせる雲。,,,,
spell_apotheosis_noragdoll_name,Corpse Sublimation,Corpse Sublimation,,,,,,,尸体升华,,,,DOESN'T NEED TO BE TRANSLATED,
spell_apotheosis_noragdoll_desc,Magically converts an enemy's corpse to smoke on death,Magically converts an enemy's corpse to smoke on death,,,,,,,将敌人的尸体转化为烟,,,,DOESN'T NEED TO BE TRANSLATED,
spell_apotheosis_trail_enhancer_name,Trail Enhancer,Усилитель следа,,,,,,,轨迹增强器,痕跡エンハンサー,,,,
spell_apotheosis_trail_enhancer_desc,Significantly increase the amount of material produced by other trail spells in the wand,"Значительно увеличивает количество материала, производимого другими заклинаниями следа в жезле",,,,,,,显著增加其他轨迹法术产生的材料数量,痕跡魔法で発生する物質の量を増加させる。,,,,
spell_apotheosis_trail_reducer_name,Trail Reducer,Trail Reducer,,,,,,,轨迹削减器,,,,DOESN'T NEED TO BE TRANSLATED,
spell_apotheosis_trail_reducer_desc,Significantly reduce the amount of material produced by other trail spells in the wand,Significantly reduce the amount of material produced by other trail spells in the wand,,,,,,,显著减少其他轨迹法术产生的材料数量,,,,DOESN'T NEED TO BE TRANSLATED,
spell_apotheosis_larpa_delayed_name,Burst Larpa,Взрывной двойник,,,,,,,爆发拉帕,バースト幼生,,,,
spell_apotheosis_larpa_delayed_desc,Make a projectile cast a burst of copies after a short delay,Заставляет снаряд создавать множество копий после небольшой задержки,,,,,,,令投射物在短暂延迟后爆发出自身的复制品,少し時間を置いてから、放射物のコピーを大量に発生させる。,,,,
spell_apotheosis_random_homing_name,Random Homing,Случайное наведение,,,,,,,随机追踪法术,ランダムホーミング,,,,
spell_apotheosis_random_homing_desc,Cast one random homing spell,Накладывает одно случайное заклинание наведения,,,,,,,随机施放一个追踪类修正法术,いずれかのホーミング系スペルの効果が放射物に付与される。,,,,
spell_apotheosis_lua_sharing_name,Magic Inebriation,Магическое опьянение,,,,,,,魔法紊乱,魔法効果シェア,,,,
spell_apotheosis_lua_sharing_desc,Wildly diffuses the magical properties of different projectiles amongst each other,Безумно рассеивает магические свойства различных снарядов между собой,,,,,,,令投射物的魔法属性彼此混合,同時詠唱した全ての放射物が、それぞれの持つ特性を共有する。,,,,
spell_apotheosis_gluecharge_name,Glue Charge,Клеевой заряд,,,,,,,黏胶放射,のりチャージ,,,,
spell_apotheosis_gluecharge_desc,"Imbues a projectile with a sticky charge, that it will release on impact","Наделяет снаряд липким зарядом, который он выпустит при ударе",,,,,,,令投射物在击中时散发黏胶放射,のりの力を放射物に込める。力は着弾地点で解放される。,,,,
spell_apotheosis_electrosphere_name,Bolt Orb,Шар-молния,,,,,,,电弧魔球,ボルトオーブ,,,,
spell_apotheosis_electrosphere_desc,Cast a slow orb which zaps nearby creatures periodically,"Создаёт медленный шар, который периодически поражает ближайших существ электрическим током",,,,,,,施放一个向附近生物放出电击的缓慢魔球,一定時間ごとに周囲の生物を攻撃するオーブ。,,,,
